time,connected,alive,connectivity_pct,e0_mah,traffic_interval,tree_only
4070.000000,1,13,7.6923,0.2500,1.0000,False
4080.000000,1,13,7.6923,0.2500,1.0000,False
4090.000000,1,13,7.6923,0.2500,1.0000,False
4100.000000,1,13,7.6923,0.2500,1.0000,False
4110.000000,1,13,7.6923,0.2500,1.0000,False
4120.000000,1,13,7.6923,0.2500,1.0000,False
4130.000000,1,13,7.6923,0.2500,1.0000,False
4140.000000,1,13,7.6923,0.2500,1.0000,False
4150.000000,1,13,7.6923,0.2500,1.0000,False
4160.000000,1,13,7.6923,0.2500,1.0000,False
4170.000000,1,13,7.6923,0.2500,1.0000,False
4180.000000,1,13,7.6923,0.2500,1.0000,False
4190.000000,1,13,7.6923,0.2500,1.0000,False
4200.000000,1,13,7.6923,0.2500,1.0000,False
4210.000000,1,13,7.6923,0.2500,1.0000,False
4220.000000,1,13,7.6923,0.2500,1.0000,False
4230.000000,1,13,7.6923,0.2500,1.0000,False
4240.000000,1,13,7.6923,0.2500,1.0000,False
4250.000000,1,12,8.3333,0.2500,1.0000,False
4260.000000,1,12,8.3333,0.2500,1.0000,False
4270.000000,1,11,9.0909,0.2500,1.0000,False
4280.000000,1,11,9.0909,0.2500,1.0000,False
4290.000000,1,11,9.0909,0.2500,1.0000,False
4300.000000,1,11,9.0909,0.2500,1.0000,False
4310.000000,1,11,9.0909,0.2500,1.0000,False
4320.000000,1,11,9.0909,0.2500,1.0000,False
4330.000000,1,11,9.0909,0.2500,1.0000,False
4340.000000,1,11,9.0909,0.2500,1.0000,False
4350.000000,1,11,9.0909,0.2500,1.0000,False
4360.000000,1,11,9.0909,0.2500,1.0000,False
4370.000000,1,11,9.0909,0.2500,1.0000,False
4380.000000,1,11,9.0909,0.2500,1.0000,False
4390.000000,1,11,9.0909,0.2500,1.0000,False
4400.000000,1,11,9.0909,0.2500,1.0000,False
4410.000000,1,11,9.0909,0.2500,1.0000,False
4420.000000,1,11,9.0909,0.2500,1.0000,False
4430.000000,1,11,9.0909,0.2500,1.0000,False
4440.000000,1,11,9.0909,0.2500,1.0000,False
4450.000000,1,11,9.0909,0.2500,1.0000,False
4460.000000,1,11,9.0909,0.2500,1.0000,False
4470.000000,1,11,9.0909,0.2500,1.0000,False
4480.000000,1,11,9.0909,0.2500,1.0000,False
4490.000000,1,11,9.0909,0.2500,1.0000,False
