seq_no,packet_type,origin_uid,dst_addr,final_uid,created_time,delivered_time,delay,hop_count,path
3402,DATA,33,"[1,254]",18,116.242721,116.243113,0.000392,5,33->34->35->26->17->18
3403,DATA,43,"[1,254]",18,116.244545,116.244967,0.000422,5,43->34->35->26->17->18
3404,DATA,34,"[1,254]",18,116.276843,116.277158,0.000314,4,34->35->26->17->18
3405,DATA,20,"[1,254]",18,116.293857,116.294636,0.000779,9,20->10->11->22->33->34->35->26->17->18
3406,DATA,11,"[1,254]",18,116.323441,116.324049,0.000608,7,11->22->33->34->35->26->17->18
3407,DATA,75,"[1,254]",18,116.326750,116.327477,0.000727,9,75->65->64->54->43->34->35->26->17->18
3408,DATA,70,"[1,254]",18,116.336190,116.337101,0.000911,11,70->60->50->41->32->22->33->34->35->26->17->18
3409,DATA,92,"[1,254]",18,116.336835,116.337795,0.000961,11,92->93->83->73->63->54->43->34->35->26->17->18
3410,DATA,11,"[1,254]",18,116.342944,116.343553,0.000608,7,11->22->33->34->35->26->17->18
3411,DATA,12,"[1,254]",18,116.353774,116.354339,0.000565,7,12->22->33->34->35->26->17->18
3412,DATA,25,"[1,254]",18,116.412861,116.413072,0.000211,3,25->26->17->18
3413,DATA,83,"[1,254]",18,116.417642,116.418376,0.000734,9,83->73->63->54->43->34->35->26->17->18
3414,DATA,32,"[1,254]",18,116.419243,116.419849,0.000606,7,32->22->33->34->35->26->17->18
3415,DATA,35,"[1,254]",18,116.459141,116.459399,0.000258,3,35->26->17->18
3416,DATA,85,"[1,254]",18,116.488517,116.489420,0.000902,11,85->86->75->65->64->54->43->34->35->26->17->18
3417,DATA,40,"[1,254]",18,116.489543,116.490324,0.000781,9,40->41->32->22->33->34->35->26->17->18
3418,DATA,42,"[1,254]",18,116.518120,116.518861,0.000741,9,42->41->32->22->33->34->35->26->17->18
3419,DATA,34,"[1,254]",18,116.530148,116.530462,0.000314,4,34->35->26->17->18
3420,DATA,32,"[1,254]",18,116.545846,116.546452,0.000606,7,32->22->33->34->35->26->17->18
3421,DATA,30,"[1,254]",18,116.551388,116.552226,0.000839,10,30->20->10->11->22->33->34->35->26->17->18
3422,DATA,13,"[1,254]",18,116.565513,116.566068,0.000555,7,13->22->33->34->35->26->17->18
3423,DATA,16,"[1,254]",18,116.569275,116.569520,0.000245,3,16->26->17->18
3424,DATA,82,"[1,254]",18,116.627436,116.628520,0.001085,13,82->81->92->93->83->73->63->54->43->34->35->26->17->18
3426,DATA,90,"[1,254]",18,116.662554,116.663693,0.001139,13,90->81->92->93->83->73->63->54->43->34->35->26->17->18
3427,DATA,66,"[1,254]",18,116.683193,116.683908,0.000715,9,66->65->64->54->43->34->35->26->17->18
3430,DATA,2,"[1,254]",18,116.726960,116.727599,0.000639,8,2->12->22->33->34->35->26->17->18
719,DATA,59,"[1,254]",18,116.730759,116.731318,0.000558,7,59->69->68->57->47->38->27->18
3431,DATA,10,"[1,254]",18,116.747159,116.747843,0.000685,8,10->11->22->33->34->35->26->17->18
3432,DATA,20,"[1,254]",18,116.755180,116.755959,0.000779,9,20->10->11->22->33->34->35->26->17->18
720,DATA,58,"[1,254]",18,116.785939,116.786321,0.000382,5,58->57->47->38->27->18
3433,DATA,75,"[1,254]",18,116.786225,116.786953,0.000727,9,75->65->64->54->43->34->35->26->17->18
3434,DATA,86,"[1,254]",18,116.799103,116.799920,0.000817,10,86->75->65->64->54->43->34->35->26->17->18
3435,DATA,65,"[1,254]",18,116.800278,116.800939,0.000661,8,65->64->54->43->34->35->26->17->18
3436,DATA,63,"[1,254]",18,116.822979,116.823575,0.000597,7,63->54->43->34->35->26->17->18
3437,DATA,75,"[1,254]",18,116.892506,116.893234,0.000727,9,75->65->64->54->43->34->35->26->17->18
3438,DATA,62,"[1,254]",18,116.924061,116.924842,0.000781,9,62->73->63->54->43->34->35->26->17->18
3439,DATA,22,"[1,254]",18,116.937494,116.937989,0.000495,6,22->33->34->35->26->17->18
723,DATA,56,"[1,254]",18,116.938704,116.939091,0.000387,5,56->57->47->38->27->18
724,DATA,46,"[1,254]",18,116.951679,116.952117,0.000438,5,46->57->47->38->27->18
3440,DATA,0,"[1,254]",18,116.970461,116.971232,0.000771,9,0->10->11->22->33->34->35->26->17->18
3441,DATA,81,"[1,254]",18,116.984561,116.985606,0.001045,12,81->92->93->83->73->63->54->43->34->35->26->17->18
3442,DATA,50,"[1,254]",18,116.984925,116.985719,0.000794,9,50->41->32->22->33->34->35->26->17->18
725,DATA,37,"[1,254]",18,116.996543,116.996765,0.000222,3,37->38->27->18
3443,DATA,35,"[1,254]",18,117.023600,117.023858,0.000258,3,35->26->17->18
3444,DATA,3,"[1,254]",18,117.024962,117.025698,0.000736,9,3->2->12->22->33->34->35->26->17->18
3445,DATA,51,"[1,254]",18,117.089651,117.090404,0.000753,9,51->41->32->22->33->34->35->26->17->18
3446,DATA,1,"[1,254]",18,117.095533,117.096301,0.000768,9,1->10->11->22->33->34->35->26->17->18
3447,DATA,11,"[1,254]",18,117.199111,117.199719,0.000608,7,11->22->33->34->35->26->17->18
3448,DATA,91,"[1,254]",18,117.253582,117.254690,0.001109,13,91->81->92->93->83->73->63->54->43->34->35->26->17->18
3449,DATA,95,"[1,254]",18,117.268894,117.269821,0.000926,11,95->86->75->65->64->54->43->34->35->26->17->18
3450,DATA,60,"[1,254]",18,117.285254,117.286121,0.000867,10,60->50->41->32->22->33->34->35->26->17->18
3451,DATA,41,"[1,254]",18,117.319250,117.319938,0.000688,8,41->32->22->33->34->35->26->17->18
3452,DATA,33,"[1,254]",18,117.350385,117.350777,0.000392,5,33->34->35->26->17->18
3453,DATA,21,"[1,254]",18,117.369371,117.369955,0.000584,7,21->22->33->34->35->26->17->18
3454,DATA,80,"[1,254]",18,117.372928,117.374067,0.001140,13,80->81->92->93->83->73->63->54->43->34->35->26->17->18
3455,DATA,83,"[1,254]",18,117.388915,117.389649,0.000734,9,83->73->63->54->43->34->35->26->17->18
3456,DATA,71,"[1,254]",18,117.392099,117.393208,0.001108,13,71->81->92->93->83->73->63->54->43->34->35->26->17->18
3457,DATA,32,"[1,254]",18,117.406049,117.406655,0.000606,7,32->22->33->34->35->26->17->18
3458,DATA,94,"[1,254]",18,117.410526,117.411438,0.000912,11,94->93->83->73->63->54->43->34->35->26->17->18
3459,DATA,50,"[1,254]",18,117.418829,117.419623,0.000794,9,50->41->32->22->33->34->35->26->17->18
3460,DATA,31,"[1,254]",18,117.421730,117.422308,0.000578,7,31->22->33->34->35->26->17->18
3461,DATA,61,"[1,254]",18,117.473606,117.474568,0.000962,11,61->60->50->41->32->22->33->34->35->26->17->18
3462,DATA,20,"[1,254]",18,117.484812,117.485591,0.000779,9,20->10->11->22->33->34->35->26->17->18
3463,DATA,81,"[1,254]",18,117.514356,117.515401,0.001045,12,81->92->93->83->73->63->54->43->34->35->26->17->18
3464,DATA,92,"[1,254]",18,117.515210,117.516171,0.000961,11,92->93->83->73->63->54->43->34->35->26->17->18
3465,DATA,41,"[1,254]",18,117.537703,117.538391,0.000688,8,41->32->22->33->34->35->26->17->18
3466,DATA,10,"[1,254]",18,117.538261,117.538945,0.000685,8,10->11->22->33->34->35->26->17->18
3467,DATA,83,"[1,254]",18,117.550180,117.550914,0.000734,9,83->73->63->54->43->34->35->26->17->18
3468,DATA,40,"[1,254]",18,117.568600,117.569380,0.000781,9,40->41->32->22->33->34->35->26->17->18
3469,DATA,35,"[1,254]",18,117.569505,117.569763,0.000258,3,35->26->17->18
3473,DATA,24,"[1,254]",18,117.717454,117.717853,0.000399,5,24->34->35->26->17->18
3474,DATA,26,"[1,254]",18,117.752622,117.752777,0.000155,2,26->17->18
3475,DATA,60,"[1,254]",18,117.756167,117.757034,0.000867,10,60->50->41->32->22->33->34->35->26->17->18
3476,DATA,22,"[1,254]",18,117.769983,117.770479,0.000495,6,22->33->34->35->26->17->18
3477,DATA,50,"[1,254]",18,117.809795,117.810589,0.000794,9,50->41->32->22->33->34->35->26->17->18
3478,DATA,90,"[1,254]",18,117.891183,117.892322,0.001139,13,90->81->92->93->83->73->63->54->43->34->35->26->17->18
3479,DATA,30,"[1,254]",18,117.896452,117.897291,0.000839,10,30->20->10->11->22->33->34->35->26->17->18
3480,DATA,70,"[1,254]",18,117.911007,117.911918,0.000911,11,70->60->50->41->32->22->33->34->35->26->17->18
3481,DATA,36,"[1,254]",18,117.933091,117.933298,0.000206,3,36->26->17->18
3482,DATA,20,"[1,254]",18,117.934494,117.935273,0.000779,9,20->10->11->22->33->34->35->26->17->18
3483,DATA,84,"[1,254]",18,117.961939,117.962885,0.000946,11,84->93->83->73->63->54->43->34->35->26->17->18
3484,DATA,53,"[1,254]",18,117.972725,117.973315,0.000590,7,53->54->43->34->35->26->17->18
3485,DATA,11,"[1,254]",18,117.994071,117.994680,0.000608,7,11->22->33->34->35->26->17->18
729,DATA,47,"[1,254]",18,118.014991,118.015262,0.000271,3,47->38->27->18
3486,DATA,72,"[1,254]",18,118.026333,118.027076,0.000743,9,72->73->63->54->43->34->35->26->17->18
3487,DATA,30,"[1,254]",18,118.042177,118.043016,0.000839,10,30->20->10->11->22->33->34->35->26->17->18
3488,DATA,12,"[1,254]",18,118.054247,118.054812,0.000565,7,12->22->33->34->35->26->17->18
3489,DATA,65,"[1,254]",18,118.134719,118.135380,0.000661,8,65->64->54->43->34->35->26->17->18
3490,DATA,14,"[1,254]",18,118.208834,118.209306,0.000472,6,14->24->34->35->26->17->18
