node_id,role,addr,ch_addr,battery_pct,downstream_ch_addr,neighbors,members,child_networks
33,REGISTERED,9.5,,95.27,,"[('8.2', '?', 2), ('9.254', 'CLUSTER_HEAD', 1), ('10.2', 'REGISTERED', 1), ('4.2', '?', 2), ('10.254', '?', 2), ('9.4', 'REGISTERED', 1), ('9.3', '?', 2), ('9.2', '?', 2), ('4.3', 'REGISTERED', 1), ('2.2', '?', 2), ('4.254', '?', 2), ('3.6', '?', 2), ('3.2', '?', 2), ('9.6', 'REGISTERED', 1), ('8.254', '?', 2), ('9.7', '?', 2), ('10.3', 'REGISTERED', 1), ('11.4', '?', 2)]",[],[]
34,REGISTERED,4.3,,93.93,,"[('2.2', 'ROUTER', 1), ('2.254', '?', 2), ('2.3', '?', 2), ('3.2', 'REGISTERED', 1), ('4.254', 'CLUSTER_HEAD', 1), ('4.2', '?', 2), ('3.6', 'REGISTERED', 1), ('3.254', '?', 2), ('8.254', '?', 2), ('9.5', 'REGISTERED', 1), ('9.254', '?', 2), ('10.2', '?', 2), ('9.4', '?', 2), ('9.6', 'REGISTERED', 1), ('10.3', 'REGISTERED', 1), ('10.254', '?', 2)]",[],[]
35,REGISTERED,3.2,,88.51,,"[('2.2', 'ROUTER', 1), ('2.254', '?', 2), ('2.3', 'ROUTER', 1), ('3.254', 'CLUSTER_HEAD', 1), ('3.3', '?', 2), ('3.4', '?', 2), ('3.5', '?', 2), ('4.254', 'CLUSTER_HEAD', 1), ('1.4', '?', 2), ('8.254', '?', 2), ('4.2', '?', 2), ('3.6', 'REGISTERED', 1), ('4.3', 'REGISTERED', 1), ('9.5', '?', 2), ('9.6', 'REGISTERED', 1), ('9.254', '?', 2), ('10.3', '?', 2)]",[],[]
36,ROUTER,2.3,,75.10,3.254,"[('1.1', '?', 2), ('2.254', 'CLUSTER_HEAD', 1), ('2.2', 'ROUTER', 1), ('3.254', 'CLUSTER_HEAD', 1), ('3.2', 'REGISTERED', 1), ('3.3', '?', 2), ('3.4', 'REGISTERED', 1), ('3.5', '?', 2), ('1.4', 'REGISTERED', 1), ('1.254', '?', 2), ('1.3', '?', 2), ('8.254', '?', 2), ('4.254', '?', 2), ('1.6', '?', 2), ('3.6', 'REGISTERED', 1), ('4.3', '?', 2), ('9.6', '?', 2)]",[],[]
37,REGISTERED,1.4,,87.44,,"[('3.4', 'REGISTERED', 1), ('2.3', 'ROUTER', 1), ('3.254', 'CLUSTER_HEAD', 1), ('3.3', '?', 2), ('3.5', '?', 2), ('1.254', 'ROOT', 1), ('1.1', 'ROUTER', 1), ('1.2', '?', 2), ('1.3', 'REGISTERED', 1), ('2.254', 'CLUSTER_HEAD', 1), ('2.2', '?', 2), ('3.2', '?', 2), ('5.254', '?', 2), ('1.6', 'REGISTERED', 1), ('1.5', '?', 2), ('3.6', '?', 2), ('1.7', '?', 2)]",[],[]
38,ROOT,1.254,1.254,99.92,,"[('1.1', 'ROUTER', 1), ('1.2', 'REGISTERED', 1), ('1.3', 'REGISTERED', 1), ('2.254', '?', 2), ('1.4', 'REGISTERED', 1), ('3.4', '?', 2), ('2.3', '?', 2), ('3.254', '?', 2), ('1.5', 'REGISTERED', 1), ('1.6', 'REGISTERED', 1), ('5.254', '?', 2), ('1.7', 'REGISTERED', 1), ('5.5', '?', 2)]","[('1.1', 45), ('1.2', 47), ('1.3', 46), ('1.4', 37), ('1.5', 39), ('1.6', 30), ('1.7', 31)]","[(2, '1.1', 'VALID'), (3, '1.1', 'VALID'), (4, '1.1', 'VALID'), (5, '1.1', 'VALID'), (6, '1.1', 'VALID'), (7, '1.1', 'VALID'), (8, '1.1', 'VALID'), (9, '1.1', 'VALID'), (10, '1.1', 'VALID'), (11, '1.1', 'VALID'), (12, '1.1', 'VALID')]"
39,REGISTERED,1.5,,96.85,,"[('1.254', 'ROOT', 1), ('1.1', '?', 2), ('1.2', 'REGISTERED', 1), ('1.3', '?', 2), ('1.4', '?', 2), ('1.6', '?', 2), ('1.7', 'REGISTERED', 1), ('5.254', '?', 2), ('5.5', '?', 2)]",[],[]
40,REGISTERED,10.2,,95.30,,"[('4.2', 'ROUTER', 1), ('4.254', '?', 2), ('10.254', 'CLUSTER_HEAD', 1), ('9.4', 'REGISTERED', 1), ('9.254', '?', 2), ('9.3', '?', 2), ('9.5', 'REGISTERED', 1), ('4.3', '?', 2), ('9.6', '?', 2), ('10.3', 'REGISTERED', 1)]",[],[]
41,REGISTERED,10.3,,94.26,,"[('10.2', 'REGISTERED', 1), ('4.2', 'ROUTER', 1), ('10.254', 'CLUSTER_HEAD', 1), ('9.4', 'REGISTERED', 1), ('9.5', 'REGISTERED', 1), ('4.254', 'CLUSTER_HEAD', 1), ('3.2', '?', 2), ('2.2', '?', 2), ('4.3', 'REGISTERED', 1), ('9.254', '?', 2), ('9.3', '?', 2), ('9.6', '?', 2), ('3.6', '?', 2)]",[],[]
42,CLUSTER_HEAD,4.1,4.254,84.10,,"[('3.2', 'REGISTERED', 1), ('2.2', 'ROUTER', 1), ('2.3', '?', 2), ('3.254', '?', 2), ('2.254', '?', 2), ('4.2', 'ROUTER', 1), ('10.2', '?', 2), ('3.6', '?', 2), ('4.3', 'REGISTERED', 1), ('9.5', '?', 2), ('9.6', '?', 2), ('10.254', '?', 2), ('10.3', 'REGISTERED', 1), ('9.4', '?', 2)]","[('4.2', 49), ('4.3', 34)]","[(10, '4.2', 'VALID')]"
43,ROUTER,2.2,,83.02,4.254,"[('1.1', '?', 2), ('2.254', 'CLUSTER_HEAD', 1), ('2.3', 'ROUTER', 1), ('3.2', 'REGISTERED', 1), ('3.4', '?', 2), ('4.254', 'CLUSTER_HEAD', 1), ('3.254', '?', 2), ('1.4', '?', 2), ('4.2', '?', 2), ('3.6', '?', 2), ('4.3', 'REGISTERED', 1), ('9.5', '?', 2), ('9.6', '?', 2), ('10.3', '?', 2)]",[],[]
44,CLUSTER_HEAD,2.1,2.254,74.29,,"[('1.1', 'ROUTER', 1), ('1.254', '?', 2), ('1.3', '?', 2), ('2.2', 'ROUTER', 1), ('2.3', 'ROUTER', 1), ('3.2', '?', 2), ('3.4', '?', 2), ('3.254', '?', 2), ('1.4', 'REGISTERED', 1), ('4.254', '?', 2), ('1.6', '?', 2), ('3.6', '?', 2), ('4.3', '?', 2)]","[('2.2', 43), ('2.3', 36)]","[(3, '2.3', 'VALID'), (4, '2.2', 'VALID'), (5, '2.3', 'VALID'), (6, '2.3', 'VALID'), (7, '2.3', 'VALID'), (8, '2.3', 'VALID'), (9, '2.3', 'VALID'), (10, '2.2', 'VALID'), (11, '2.3', 'VALID'), (12, '2.3', 'VALID')]"
45,ROUTER,1.1,,85.65,2.254,"[('1.254', 'ROOT', 1), ('2.254', 'CLUSTER_HEAD', 1), ('1.3', 'REGISTERED', 1), ('1.2', '?', 2), ('2.2', '?', 2), ('2.3', '?', 2), ('3.254', '?', 2), ('1.4', 'REGISTERED', 1), ('3.4', '?', 2), ('1.6', '?', 2), ('1.5', '?', 2), ('1.7', '?', 2)]",[],[]
46,REGISTERED,1.3,,95.37,,"[('1.254', 'ROOT', 1), ('1.1', 'ROUTER', 1), ('1.2', 'REGISTERED', 1), ('2.254', '?', 2), ('1.4', 'REGISTERED', 1), ('3.4', '?', 2), ('2.3', '?', 2), ('3.254', '?', 2), ('1.6', '?', 2), ('1.5', '?', 2), ('1.7', '?', 2)]",[],[]
47,REGISTERED,1.2,,96.67,,"[('1.254', 'ROOT', 1), ('1.1', '?', 2), ('1.3', 'REGISTERED', 1), ('1.4', '?', 2), ('1.5', 'REGISTERED', 1), ('1.6', '?', 2), ('1.7', '?', 2)]",[],[]
48,CLUSTER_HEAD,10.1,10.254,94.64,,"[('4.2', 'ROUTER', 1), ('4.254', '?', 2), ('10.2', 'REGISTERED', 1), ('9.4', '?', 2), ('9.5', '?', 2), ('10.3', 'REGISTERED', 1), ('4.3', '?', 2)]","[('10.2', 40), ('10.3', 41)]",[]
49,ROUTER,4.2,,89.22,10.254,"[('4.254', 'CLUSTER_HEAD', 1), ('3.2', '?', 2), ('2.2', '?', 2), ('10.254', 'CLUSTER_HEAD', 1), ('10.2', 'REGISTERED', 1), ('9.4', '?', 2), ('9.5', '?', 2), ('4.3', '?', 2), ('10.3', 'REGISTERED', 1)]",[],[]
